MSA,Date,zillowhousesales,Population,creditunion,mortgageloans,refinancing,home_homesforsale,homeshousescondo,realestate,realtorzillow,car,car_carsforsale,carautodealer,carloancalculator,car_autoloan,dmv,autotrader,flight,hotel,tripadvisor,unemploymentbenefits,glassdoorindeed,job,schoolclinic,walmart,starbucksapple,tripadvisor_expedia
Charleston,2007-01-01,,616351,59,84,16,70,72,89,15,63,57,52,0,58,54,28,29,73,21,0,3,58,70,16,35,27
Charleston,2007-02-01,,617532,57,99,34,67,79,81,13,55,57,52,0,75,70,15,27,92,22,0,0,48,72,22,37,41
Charleston,2007-03-01,,618714,59,87,15,73,72,100,22,64,48,52,0,65,52,13,21,79,41,0,3,53,70,16,47,38
Charleston,2007-04-01,,619895,63,78,16,68,70,72,20,72,62,51,0,73,51,21,30,97,0,0,3,47,60,20,27,27
Charleston,2007-05-01,,621076,59,71,14,67,73,86,18,73,73,75,41,80,73,44,30,89,25,0,3,67,73,24,18,42
Charleston,2007-06-01,,622258,52,77,0,77,74,95,24,76,64,78,0,79,88,26,29,94,27,29,6,67,57,24,50,41
Charleston,2007-07-01,,623439,56,54,29,66,76,90,31,78,71,80,0,66,100,31,26,96,6,0,5,63,58,22,40,49
Charleston,2007-08-01,,624620,57,83,14,81,76,71,17,60,48,66,0,73,67,47,30,81,24,0,3,64,86,24,33,43
Charleston,2007-09-01,,625802,45,64,27,67,68,58,17,65,59,61,78,55,57,47,27,81,24,0,0,64,92,27,42,40
Charleston,2007-10-01,,626983,50,59,36,59,76,61,19,67,74,62,0,64,41,37,41,90,27,0,5,66,78,27,32,35
Charleston,2007-11-01,,628164,56,53,24,64,73,59,15,61,70,61,36,54,52,16,28,69,22,0,0,56,71,38,42,24
Charleston,2007-12-01,,629346,62,88,27,61,62,59,16,63,63,53,38,56,29,40,36,53,12,0,2,51,62,42,50,39
Charleston,2008-01-01,,630527,64,99,57,73,70,77,23,62,73,57,32,78,43,20,25,76,24,0,6,64,74,23,30,39
Charleston,2008-02-01,,630607,76,78,0,66,78,69,14,71,66,54,100,55,58,36,30,77,15,22,7,52,70,29,37,34
Charleston,2008-03-01,778,630687,58,74,46,69,75,66,25,73,81,79,33,76,43,25,46,83,10,0,4,68,66,25,43,51
Charleston,2008-04-01,825,630766,52,78,22,66,68,63,12,74,73,71,0,72,69,48,28,72,15,0,8,53,77,26,38,57
Charleston,2008-05-01,808,630846,56,61,34,64,65,66,33,81,75,81,64,76,44,39,42,91,10,21,11,61,70,29,42,47
Charleston,2008-06-01,834,630926,72,48,12,66,73,63,11,90,84,91,0,74,38,42,29,78,26,0,16,80,60,34,46,47
Charleston,2008-07-01,878,631006,70,59,11,73,72,63,14,78,73,71,64,78,65,63,30,89,29,21,6,72,59,33,48,63
Charleston,2008-08-01,705,631085,61,55,11,65,76,53,26,73,81,73,0,66,69,43,32,80,28,0,8,66,77,30,48,43
Charleston,2008-09-01,663,631165,58,58,20,62,75,55,11,62,65,65,30,58,62,27,40,63,40,0,12,70,84,29,48,52
Charleston,2008-10-01,624,631245,64,68,10,54,72,38,16,63,64,68,0,65,40,29,29,63,34,72,11,81,80,25,46,26
Charleston,2008-11-01,466,631325,53,49,11,61,66,40,15,68,62,61,31,57,35,51,25,66,0,61,4,65,63,46,59,18
Charleston,2008-12-01,500,631404,66,99,67,57,63,50,20,63,56,54,0,65,46,43,46,59,10,21,8,63,67,56,44,32
Charleston,2009-01-01,410,631484,71,82,52,75,77,53,26,69,65,71,0,54,43,27,45,68,32,58,14,100,78,27,36,35
Charleston,2009-02-01,391,632355,54,58,44,66,70,52,15,67,74,62,0,72,61,48,40,73,34,0,8,67,86,31,34,43
Charleston,2009-03-01,564,633225,70,87,40,60,71,53,17,71,83,65,56,81,58,30,37,76,26,0,20,80,77,27,38,36
Charleston,2009-04-01,537,634096,62,59,75,67,74,42,23,77,77,68,0,79,40,37,40,67,23,79,12,69,73,28,42,26
Charleston,2009-05-01,587,634966,70,73,21,67,78,54,30,71,78,72,30,76,42,37,40,83,23,60,14,69,63,27,35,29
Charleston,2009-06-01,730,635837,67,71,11,75,73,52,19,84,79,75,0,77,52,15,44,93,10,0,28,74,62,32,41,30
Charleston,2009-07-01,781,636707,60,57,22,71,68,53,14,83,86,78,32,73,29,48,51,84,24,21,15,76,60,29,42,44
Charleston,2009-08-01,723,637578,62,31,22,72,66,46,36,71,72,74,0,68,35,23,46,82,19,41,21,85,89,33,41,42
Charleston,2009-09-01,670,638448,60,40,11,64,66,41,23,77,66,70,30,66,41,32,45,76,37,19,6,67,83,29,50,36
Charleston,2009-10-01,703,639319,59,59,50,63,68,37,17,61,65,69,0,70,34,48,39,59,30,56,21,79,86,25,42,49
Charleston,2009-11-01,667,640189,40,52,11,64,68,45,27,64,64,61,30,75,52,32,35,57,9,78,20,71,89,44,38,36
Charleston,2009-12-01,819,641060,67,46,32,51,67,40,18,58,65,75,30,61,42,27,58,55,23,40,16,49,69,55,45,28
Charleston,2010-01-01,586,641930,51,39,20,73,77,47,26,68,66,76,0,76,60,30,34,69,35,18,11,77,84,33,69,29
Charleston,2010-02-01,590,643057,53,51,20,73,69,39,21,72,71,70,28,71,33,65,43,81,22,37,21,69,81,33,45,29
Charleston,2010-03-01,755,644184,57,55,19,66,75,51,22,70,70,72,0,67,50,57,47,73,28,35,16,71,79,29,44,37
Charleston,2010-04-01,806,645312,45,74,20,68,70,47,40,66,73,66,28,79,35,21,59,79,34,18,26,69,83,30,40,24
