MSA,Year,Quarter,Population,Median_Age,Population18_24,Population_25_and_over,Educ_Lessthan_HS_18_24,Educ_HS_grad,Educ_HS_grad_and_higher,Educ_Some_Assoc_deg,Educ_Bach_deg_or_higher,Educ_Bach_deg_and_higher,Educ_Graduate_deg,perc_ppl_below_pov_level_allppl,perc_ppl_below_pov_level_18andup,TotalRealGrossDomesticProduct,TotalPerCapitaRealGrossDomesticP,TotalGrossDomesticProduct,RegionalPriceParitiesAllItems,RealPersonalIncome,RealPerCapitaPersonalIncome,PerCapitaPersonalIncome,UnemploymentRate,CivilianLaborForce,AllEmployeesEducationandHealthSe,AllEmployeesFinancialActivities,AllEmployeesGovernment,AllEmployeesInformation,AllEmployeesLeisureandHospitalit,AllEmployeesManufacturing,AllEmployeesTotalNonfarm,AllEmployeesMiningLoggingandCons,AllEmployeesProfessionalandBusin,AllEmployeesOtherServices,AllEmployeesTradeTransportationa,AllEmployeesTotalPrivate,AverageWeeklyHoursofAllEmployees,AverageHourlyEarningsofAllEmploy,AverageWeeklyEarningsofAllEmploy,AllEmployeesGoodsProducing,AllEmployeesServiceProviding,AllEmployeesPrivateServiceProvid,AllEmployeesWholesaleTrade,AllEmployeesRetailTrade,AllEmployeesTransportationandUti,AllEmployeesFederalGovernment,AllEmployeesStateGovernment,AllEmployeesLocalGovernment,HousingEstimate,AllTransactionsHousePriceIndex,Unit1StructuresNewPrivateHousing,NewPrivateHousingUnitsAuthorized,air_traffic,Mean_Trav_time_to_work,Number_of_Institutions,Number_of_Offices,Total_Deposits_in_000s
Charleston,2007,1,616351,35.59999847,65783,407454,17.70000076,33.40000153,87.80000305,38.90000153,10,34.70000076,9.600000381,12.5,8.100000381,26035,43514,23517,95.80000305,26583308,43287,31993,5.433333333,288793.3333,28.96666667,11.6,55.83333333,4.966666667,33.93333333,21.5,279.6,20.43333333,34.73333333,11.4,56.2,223.9,,,,41.86666667,237.8333333,182.0666667,8.433333333,36.23333333,11.56666667,8.133333333,23,24.63333333,259674,215.6,1725.5,854.3333333,206688,24.39999962,25,172,7964380
Charleston,2007,2,619895,35.70000076,66351,407520,17.20000076,33.79999924,87.69999695,38.90000153,10.10000038,33.29999924,9.699999809,12.80000019,9,26172,43451,23859,95.80000305,26396400,42831,32490,5.166666667,295553,28.9,11.8,56.2,5.1,34.53333333,21.23333333,280.9,19.93333333,35.7,11.43333333,56.46666667,224.9333333,,,,41.1,239.9333333,183.8666667,8.433333333,36.4,11.63333333,8.133333333,23.16666667,24.86666667,262166,224.8,1845.8,775.8,312121,24.39999962,26,176,8145359
Charleston,2007,3,623439,35.70000076,66920,407585,16.79999924,34.09999847,87.5,38.90000153,10.30000019,31.79999924,9.800000191,13,9.899999619,26309,43388,24201,95.80000305,26209492,42376,32986,5.366666667,300632.3333,28.73333333,11.96666667,56.4,5.033333333,34.53333333,21.3,284,20.36666667,35.86666667,12.06666667,57.5,227.3666667,,,,41.73333333,242.1,185.6,8.466666667,37.7,11.33333333,8.1,22.93333333,25.36666667,264659,233.26,2143.1,850.8,321221,24.29999924,27,181,8326338
Charleston,2007,4,626983,35.79999924,67488,407651,16.29999924,34.40000153,87.40000153,38.90000153,10.39999962,30.39999962,10,13.30000019,10.80000019,26446,43325,24542,95.90000153,26022580,41920,33483,5.533333333,297736.6667,29.06666667,12.03333333,56.03333333,5.1,34.4,21.13333333,284.7333333,20.7,36.56666667,11.63333333,57.63333333,228.3333333,,,,41.83333333,242.5666667,186.5,8.533333333,37.9,11.23333333,8.1,22.66666667,25.33333333,267152,244.47,2227.9,851.4666667,300114,24.29999924,28,185,8507317
Charleston,2008,1,630527,35.79999924,68056,407716,15.80000019,34.79999924,87.30000305,38.90000153,10.5,28.89999962,10.10000038,13.5,11.69999981,26583,43262,24884,95.90000153,25835672,41464,33979,5.233333333,296321.6667,29.26666667,11.96666667,56.13333333,5.366666667,34.9,21.06666667,285.9333333,20.96666667,36.46666667,11.83333333,58.06666667,230,,,,42,244.0666667,188,8.566666667,38,11.43333333,8.233333333,22.8,25.1,269645,249.33,2185.3,909.1666667,259512,24.20000076,28,190,8688296
Charleston,2008,2,630766,35.59999847,68504,411784,16.10000038,34.29999924,87.30000305,39.40000153,10.30000019,29.10000038,10.10000038,13.60000038,11.80000019,26921,43560,25416,95.90000153,25648764,41008,34467,5.2,303260.6667,29.66666667,12.26666667,55.96666667,5.4,34.76666667,21.23333333,286.6333333,21.33333333,36.93333333,11.8,57.63333333,230.8,,,,42.56666667,244.2,188.3333333,8.566666667,37.86666667,11.2,8.266666667,23,24.7,272137,258.63,1731.6,682,334842,24.10000038,29,194,8869275
Charleston,2008,3,631006,35.40000153,68953,415852,16.29999924,33.70000076,87.40000153,40,10,29.29999924,10.10000038,13.80000019,11.80000019,27259,43859,25948,95.90000153,25461854,40553,34955,5.233333333,306624.3333,29.9,12.13333333,56.13333333,5.4,35.2,21.23333333,290,21.66666667,38.63333333,11.56666667,57.9,233.7333333,,,,43,246.9333333,190.7,8.6,38.03333333,11.2,8.233333333,23.2,24.7,274630,263.36,1502.6,631.5,301736,24.10000038,29,196,8925762
Charleston,2008,4,631245,35.09999847,69401,419919,16.60000038,33.09999847,87.5,40.5,9.800000191,29.5,10.10000038,13.89999962,11.80000019,27597,44157,26479,96,25274944,40097,35443,5,307409.6667,29.86666667,12.26666667,56.86666667,5.466666667,34.93333333,21.56666667,293.5666667,21.96666667,40.3,11.76666667,58.26666667,236.4333333,,,,43.5,249.8333333,192.9,8.933333333,37.76666667,11.63333333,8.3,23.16666667,25.43333333,276661,267.85,1518.4,707.2333333,273192,24.10000038,30,199,8982248
Charleston,2009,1,631484,34.90000153,69849,423987,16.79999924,32.59999847,87.5,41,9.600000381,29.70000076,10.10000038,14.10000038,11.89999962,27935,44455,27011,96,25088036,39641,35931,4.6,308852.6667,30.16666667,12.63333333,57.5,5.466666667,35.83333333,21.93333333,298.3,22.06666667,41.93333333,12,58.73333333,240.8333333,34.33333333,17.63333333,604.0666667,43.96666667,254.3333333,196.9666667,9.166666667,37.96666667,11.6,8.233333333,23.43333333,25.8,278692,269.37,1385.4,502.9333333,223062,24,30,201,9038735
Charleston,2009,2,634096,35,70614,425363,16.79999924,31.60000038,87.5,41.79999924,9.800000191,29.89999962,10.30000019,14.19999981,12,27880,44106,27064,96,24901126,39185,35998,4.266666667,313996.6667,30.73333333,12.8,57.86666667,5.533333333,36.7,22.5,300.3,21.93333333,41.76666667,11.8,59.23333333,242.7666667,35,17.43333333,606.8666667,44.43333333,256.2,198.4,9.233333333,37.83333333,12.2,8.2,23.66666667,26.03333333,280722,269.99,1369.2,665.2666667,305162,24.10000038,30,203,9095221
